8697,abilities
8693,ability
8692,able
8694,abler
8695,ablest
8696,ably
8700,about
3112,above
8701,absolute
8702,absolutely
3113,abuse
3114,abused
3118,abuser
3119,abusers
3117,abuses
3116,abusing
3115,abusive
3120,accent
3121,accented
3123,accenting
3124,accents
8705,accept
8707,acceptable
8708,acceptably
8710,acceptance
8711,accepted
8712,accepting
8713,accepts
3132,accident
3134,accidental
3135,accidentally
3133,accidents
3141,accommodations
3142,according
8715,account
8716,accounted
8717,accounting
8718,accounts
3145,accuracies
8725,achiever
8726,achievers
3151,acid
3154,acidic
3155,acidity
3152,acids
8729,across
8730,act
8731,acted
8732,acting
8733,action
8735,actions
8742,active
8743,actively
8744,activities
8745,activity
8738,actor
8739,actors
8740,actress
8741,actresses
8737,acts
8751,actual
8752,actually
8806,ad
8754,add
8755,added
8756,adding
8757,addition
8758,additional
8759,additionally
8762,additions
8760,additive
8761,additives
8764,address
8765,addressed
8766,addresses
8767,addressing
8763,adds
3169,adjustable
8771,admission
8772,admissions
8770,admit
8774,admits
8775,admitted
8773,admittedly
8776,admitting
3173,adopt
3174,adopted
3180,adopter
3181,adopters
3175,adopting
3176,adoption
3177,adoptions
3179,adoptive
3178,adopts
8807,ads
3185,advance
3186,advanced
3188,advancement
3187,advances
3189,advancing
3190,advantage
3195,advantaged
3197,advantageous
3200,advantageously
3191,advantages
8808,advert
8790,advertise
8795,advertised
8796,advertisement
8797,advertisements
8792,advertises
8791,advertising
8798,advertize
8803,advertized
8804,advertizement
8805,advertizements
8800,advertizes
8799,advertizing
8809,adverts
3201,advice
3208,advisable
3202,advise
3207,advised
3206,adviser
3205,advisers
3204,advises
3203,advising
3211,advisor
3212,advisors
3213,advisory
3214,affair
3215,affairs
8817,afford
8821,affordable
8818,afforded
8819,affording
8820,affords
3216,afraid
3218,Africa
3219,African
3220,Africans
8823,after
8826,afternoon
8827,afternoons
8824,afterward
8825,afterwards
8828,again
8829,against
8830,age
8831,aged
8834,ageing
8842,agencies
8841,agency
3221,agenda
3222,agendas
8840,agent
8843,agents
8832,ages
8833,aging
8844,ago
8845,agree
8851,agreeable
8852,agreeably
8846,agreed
8847,agreeing
8848,agreement
8849,agreements
8850,agrees
3223,ahead
3229,aim
3232,aimed
3231,aiming
3230,aims
8861,air
3236,aircraft
8867,airless
3237,airport
3238,airports
8862,airy
3239,alarm
3240,alarmed
3241,alarming
3242,alarmingly
3243,alarms
3246,alive
8873,all
8874,allow
8880,allowable
8875,allowance
8876,allowances
8877,allowed
8878,allowing
8879,allows
8881,almost
3253,alone
8882,along
8883,already
8884,alright
8885,also
849,alternative
8886,although
3266,altogether
8887,always
9120,am
3267,amaze
3269,amazed
3272,amazement
3268,amazes
3270,amazing
3271,amazingly
8888,America
8889,American
8898,Americanization
8896,Americanized
8897,Americanizing
8890,Americans
3273,among
3274,amongst
8899,amount
8900,amounted
8901,amounting
8902,amounts
8691,an
8903,and
3291,angle
3292,angles
3295,animal
3296,animals
3297,announce
3298,announced
3299,announcement
3300,announcements
3301,announcer
3302,announcers
3303,announces
3304,announcing
3306,annoy
3310,annoyance
3311,annoyances
3308,annoyed
3309,annoying
3307,annoys
3313,annuals
8904,another
8905,answer
8910,answerable
8906,answered
8908,answering
8909,answers
3315,anti
4586,antidepressant
4587,antidepressants
13877,antisocial
8195,antitank
8912,any
8913,anybody
8914,anyhow
8915,anymore
8916,anyone
8917,anything
